index,mid,display_name,is_singing,is_speaking,is_clear_speech,is_genre,is_applause
0,/m/09x0r,Speech,0,1,1,0,0
1,/m/05zppz,"Male speech, man speaking",0,1,1,0,0
2,/m/02zsn,"Female speech, woman speaking",0,1,1,0,0
3,/m/0ytgt,"Child speech, kid speaking",0,1,1,0,0
4,/m/01h8n0,Conversation,0,1,1,0,0
5,/m/02qldy,"Narration, monologue",0,1,1,0,0
6,/m/0261r1,Babbling,0,1,1,0,0
7,/m/0brhx,Speech synthesizer,0,1,1,0,0
8,/m/07p6fty,Shout,0,1,1,0,0
9,/m/07q4ntr,Bellow,0,0,1,0,0
10,/m/07rwj3x,Whoop,0,0,1,0,0
11,/m/07sr1lc,Yell,0,1,1,0,1
12,/m/04gy_2,Battle cry,0,1,1,0,1
13,/t/dd00135,Children shouting,0,1,1,0,0
14,/m/03qc9zr,Screaming,0,1,1,0,1
15,/m/02rtxlg,Whispering,0,1,1,0,0
16,/m/01j3sz,Laughter,0,1,1,0,0
17,/t/dd00001,Baby laughter,0,1,1,0,0
18,/m/07r660_,Giggle,0,1,1,0,0
19,/m/07s04w4,Snicker,0,1,1,0,0
20,/m/07sq110,Belly laugh,0,1,1,0,0
21,/m/07rgt08,"Chuckle, chortle",0,1,1,0,0
22,/m/0463cq4,"Crying, sobbing",0,1,0,0,0
23,/t/dd00002,"Baby cry, infant cry",0,1,0,0,0
24,/m/07qz6j3,Whimper,0,1,0,0,0
25,/m/07qw_06,"Wail, moan",0,1,0,0,0
26,/m/07plz5l,Sigh,0,0,1,0,0
27,/m/015lz1,Singing,1,0,0,0,0
28,/m/0l14jd,Choir,0,0,0,0,0
29,/m/01swy6,Yodeling,0,0,0,0,0
30,/m/02bk07,Chant,0,0,0,0,0
31,/m/01c194,Mantra,0,0,0,0,0
32,/t/dd00003,Male singing,1,0,0,0,0
33,/t/dd00004,Female singing,1,0,0,0,0
34,/t/dd00005,Child singing,1,0,0,0,0
35,/t/dd00006,Synthetic singing,1,0,0,0,0
36,/m/06bxc,Rapping,0,0,0,0,0
37,/m/02fxyj,Humming,0,0,0,0,0
38,/m/07s2xch,Groan,0,0,0,0,0
39,/m/07r4k75,Grunt,0,0,0,0,0
40,/m/01w250,Whistling,0,0,0,0,0
41,/m/0lyf6,Breathing,0,0,0,0,0
42,/m/07mzm6,Wheeze,0,0,0,0,0
43,/m/01d3sd,Snoring,0,0,0,0,0
44,/m/07s0dtb,Gasp,0,0,0,0,0
45,/m/07pyy8b,Pant,0,0,0,0,0
46,/m/07q0yl5,Snort,0,0,0,0,0
47,/m/01b_21,Cough,0,0,0,0,0
48,/m/0dl9sf8,Throat clearing,0,0,0,0,0
49,/m/01hsr_,Sneeze,0,0,0,0,0
50,/m/07ppn3j,Sniff,0,0,0,0,0
51,/m/06h7j,Run,0,0,0,0,0
52,/m/07qv_x_,Shuffle,0,0,0,0,0
53,/m/07pbtc8,"Walk, footsteps",0,0,0,0,0
